club,clubLabel,venue,venueLabel,coordinates,country,countryLabel,league,leagueLabel
http://www.wikidata.org/entity/Q16765359,Edmonton Drillers (1979–82),http://www.wikidata.org/entity/Q130381,Commonwealth Stadium,Point(-113.476111111 53.559722222),http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q1095556,North American Soccer League
http://www.wikidata.org/entity/Q631,Football Club Internazionale Milano,http://www.wikidata.org/entity/Q133566,Giuseppe Meazza Stadium (San Siro),Point(9.124 45.47808),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q15804,Serie A
http://www.wikidata.org/entity/Q1543,Associazione Calcio Milan,http://www.wikidata.org/entity/Q133566,Giuseppe Meazza Stadium (San Siro),Point(9.124 45.47808),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q15804,Serie A
http://www.wikidata.org/entity/Q483579,Incheon Korail FC,http://www.wikidata.org/entity/Q138554,Incheon Munhak Stadium,Point(126.690806 37.435139),http://www.wikidata.org/entity/Q884,South Korea,http://www.wikidata.org/entity/Q483045,Korea National League
http://www.wikidata.org/entity/Q666067,Sportfreunde Lotte,http://www.wikidata.org/entity/Q139878,PGW Arena,Point(7.920444 52.270936),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q555836,Fußball-Regionalliga West
http://www.wikidata.org/entity/Q1281608,SuperSport United F.C.,http://www.wikidata.org/entity/Q142452,Lucas Masterpieces Moripe Stadium,Point(28.072869 -25.775919),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q603439,Premier Soccer League
http://www.wikidata.org/entity/Q1281608,SuperSport United F.C.,http://www.wikidata.org/entity/Q142452,Lucas Masterpieces Moripe Stadium,Point(28.072869 -25.775919),http://www.wikidata.org/entity/Q258,South Africa,http://www.wikidata.org/entity/Q16056559,South African Premier Division
http://www.wikidata.org/entity/Q1633430,Londrina E.C.,http://www.wikidata.org/entity/Q143064,Estádio do Café,Point(-51.165 -23.282222),http://www.wikidata.org/entity/Q155,Brazil,http://www.wikidata.org/entity/Q610175,Campeonato Brasileiro Série B
http://www.wikidata.org/entity/Q29390,A.C.R. Messina,http://www.wikidata.org/entity/Q144100,Stadio San Filippo,Point(15.520833 38.161389),http://www.wikidata.org/entity/Q38,Italy,http://www.wikidata.org/entity/Q607965,Serie C
http://www.wikidata.org/entity/Q41420,Borussia Dortmund,http://www.wikidata.org/entity/Q150928,Westfalenstadion,Point(7.451667 51.4925),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q325025,FC Grün-Weiß Piesteritz,http://www.wikidata.org/entity/Q150933,Volksparkstadion,Point(9.898611 53.586944),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q316686,NOFV-Oberliga
http://www.wikidata.org/entity/Q1023532,Club Atlas,http://www.wikidata.org/entity/Q150933,Volksparkstadion,Point(9.898611 53.586944),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q764690,The Liga MX
http://www.wikidata.org/entity/Q32494,FC Schalke 04,http://www.wikidata.org/entity/Q150961,Veltins Arena,Point(7.067588888 51.554502777),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q102720,Hertha BSC,http://www.wikidata.org/entity/Q151374,Olympiastadion Berlin,Point(13.239444444 52.514722222),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q1890792,Q1890792,http://www.wikidata.org/entity/Q151374,Olympiastadion Berlin,Point(13.239444444 52.514722222),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152665,2. Bundesliga
http://www.wikidata.org/entity/Q175764,Umeå FC,http://www.wikidata.org/entity/Q151379,T3 Arena,Point(20.285277777 63.83),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q959186,Swedish Football Division 1
http://www.wikidata.org/entity/Q935428,Ersboda SK,http://www.wikidata.org/entity/Q151379,T3 Arena,Point(20.285277777 63.83),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q1231117,Swedish Football Division 2
http://www.wikidata.org/entity/Q1356750,Team TG FF,http://www.wikidata.org/entity/Q151379,T3 Arena,Point(20.285277777 63.83),http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q1231117,Swedish Football Division 2
http://www.wikidata.org/entity/Q10319,Real Valladolid,http://www.wikidata.org/entity/Q151816,Estadio Nuevo Helen Zorrilla,Point(-4.761111 41.644444),http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q324867,La Liga
http://www.wikidata.org/entity/Q104770,1. FC Köln,http://www.wikidata.org/entity/Q151893,RheinEnergie Stadion,Point(6.875 50.933611),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q152665,2. Bundesliga
http://www.wikidata.org/entity/Q4512,VfB Stuttgart,http://www.wikidata.org/entity/Q152349,Mercedes-Benz Arena,Point(9.231944 48.792222),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q15786,1. FC Nürnberg,http://www.wikidata.org/entity/Q152599,Stadion Nürnberg,Point(11.125278 49.426389),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
http://www.wikidata.org/entity/Q1118392,Team America,http://www.wikidata.org/entity/Q153312,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q1095556,North American Soccer League
http://www.wikidata.org/entity/Q1190526,Washington Diplomats,http://www.wikidata.org/entity/Q153312,Robert F. Kennedy Memorial Stadium,Point(-76.971666666 38.889722222),http://www.wikidata.org/entity/Q30,United States of America,http://www.wikidata.org/entity/Q1095556,North American Soccer League
http://www.wikidata.org/entity/Q101959,Borussia Mönchengladbach,http://www.wikidata.org/entity/Q154074,Borussia-Park,Point(6.385463888 51.174583333),http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q82595,Bundesliga
